0,1,2,3,4,5,6,7,y
1,3,3122,127,114,173507,3,6241,1
3,5,1117,200,327,3877105,68,1508,0
1,5,2836,51,300,4418327,5,9450,0
3,5,1916,51,259,3491978,10,8096,0
2,5,1171,285,22,3863965,52,4984,0
3,1,3841,26,172,3035454,29,10454,1
2,5,1338,292,52,1366358,96,14088,0
2,3,3921,267,395,3214037,31,1404,1
3,3,1856,72,449,3307694,66,6523,1
2,1,2237,71,120,4127195,76,13482,1
0,3,1554,109,214,502775,91,8454,1
2,3,3358,28,393,186639,69,3944,1
1,5,3071,26,265,4061003,37,12844,0
3,3,1066,255,316,4905723,27,15962,1
0,1,1002,260,447,1841087,87,8082,1
3,5,3001,90,153,3530284,33,3013,0
1,5,121,48,155,2516962,68,11090,0
1,1,1740,45,400,3398477,59,14553,1
1,5,3311,206,310,4045070,64,3092,0
2,5,1341,167,173,1622671,85,13907,2
2,1,1394,213,178,4464588,88,7023,1
3,5,2204,205,487,876247,44,7189,0
3,1,3353,225,307,2298040,95,11276,1
0,1,3163,294,242,4361356,88,6980,2
0,3,3823,205,400,3653461,49,14812,2
3,3,932,161,280,3373325,53,1782,1
2,5,188,23,69,2714094,74,7920,0
1,5,2712,155,305,130101,49,5390,0
3,1,3804,66,476,1491496,66,5161,1
0,5,2960,220,244,4736589,95,3131,2
2,1,2370,277,174,657228,63,13481,1
3,1,1554,219,203,4704019,25,7852,1
3,5,2513,26,243,4554804,4,9512,0
2,1,2603,295,377,152633,51,7577,1
3,3,782,212,192,4080486,11,14270,1
2,5,1798,108,342,1084088,17,15630,2
1,3,3974,288,241,3116216,66,4918,1
2,5,473,218,370,3355195,70,1579,2
2,1,3528,138,116,2942449,73,1131,1
2,5,1641,297,387,2987977,69,8044,2
3,3,439,261,232,597432,84,3581,1
3,1,391,274,89,2795997,29,9393,0
2,5,995,280,243,4114853,85,9964,2
3,5,663,197,390,1166939,73,766,0
0,5,542,223,193,313809,92,6279,2
0,3,241,292,437,1775348,72,12441,1
3,3,548,220,194,4376979,95,10432,1
3,5,871,85,143,888743,20,254,0
2,1,1785,157,229,2265116,27,6834,1
1,1,1306,222,297,395969,8,12071,1
3,3,2018,118,373,856243,85,11351,1
0,1,276,138,211,1779219,61,4144,1
2,3,1444,19,379,3060867,28,5532,1
3,5,2236,56,155,2214889,87,5790,0
0,3,2953,105,333,2554188,70,9574,2
0,3,866,112,136,263968,3,7269,1
1,5,3270,155,466,3911433,69,10290,0
2,1,3236,36,144,643006,73,6204,1
2,3,1523,229,123,4524065,7,10091,1
1,3,1136,27,273,3511940,60,4892,1
1,5,153,176,73,4120586,4,14001,0
2,1,1924,91,144,4662322,5,8153,1
2,3,920,81,50,1781655,11,9479,0
3,5,717,263,305,2577970,15,2068,0
3,3,2092,171,12,3356213,64,5101,0
1,5,322,47,410,4467430,98,15140,0
3,1,1079,210,203,4138736,13,15965,1
0,1,3268,209,472,2517966,7,8759,2
3,1,2281,264,119,4341015,6,7885,1
3,1,1101,188,230,3740868,56,1488,1
0,3,1623,44,379,1059271,64,4136,1
1,3,3240,91,377,1342814,50,5177,1
0,1,342,229,445,1333907,30,2102,1
3,1,3492,167,415,654009,22,7579,1
1,1,3365,13,13,4826275,25,15079,0
3,3,3701,176,253,4714686,28,14497,1
0,1,3847,213,399,1618270,84,7197,2
0,1,3339,203,175,1009725,39,4418,2
3,1,2274,244,35,3143475,67,4567,0
2,5,3420,215,404,1500666,5,2362,2
2,1,3797,159,483,1894422,65,5627,1
0,5,2155,168,26,3510312,15,10501,2
0,5,1342,288,225,4089770,90,11391,2
2,1,357,175,101,236994,67,9023,1
2,5,3691,77,492,4036729,40,10955,2
3,1,3409,97,40,3351301,98,1294,0
3,3,1026,226,214,3877221,69,2466,1
2,3,3226,10,428,3207209,95,15343,1
3,3,1301,144,409,1811948,77,6540,1
3,3,1320,194,216,2388036,43,6218,1
1,5,2797,149,116,3643461,1,9217,0
3,1,1567,115,155,4882841,22,11733,1
0,1,2180,142,376,3793212,62,11667,2
3,1,1259,117,110,3708193,79,5889,1
3,3,2349,187,377,3212854,26,8658,1
2,3,1428,155,327,3465403,18,14900,1
0,1,1823,83,377,27119,48,8456,1
3,3,3993,117,250,643032,9,12220,1
3,1,1769,131,498,3305715,1,9377,1
1,1,2092,26,420,3542652,9,7147,1
3,1,845,205,256,4627269,23,12017,1
3,1,946,261,172,1094565,45,5059,1
1,1,2011,128,381,3955266,2,1632,1
2,1,259,171,182,1853139,14,14362,1
3,1,2913,207,44,3979713,38,12765,0
1,3,3929,54,293,1591745,40,8974,1
0,1,2706,188,368,353935,63,10988,2
2,1,2544,53,390,2167458,82,15971,1
0,3,2557,280,367,3559670,16,7926,2
0,3,1017,87,402,3024744,93,10505,1
1,3,521,187,469,3574258,75,12750,1
3,1,3841,12,408,4119273,6,12046,1
1,5,2467,223,30,2376646,3,2477,0
1,5,2997,83,317,3752413,14,5771,0
1,3,3613,60,172,543057,66,8473,1
1,5,972,76,499,4897913,96,4980,0
2,3,186,102,106,2724024,95,4403,1
3,1,416,185,316,1358085,75,7882,1
0,5,3009,154,348,313329,86,5425,2
0,1,233,16,64,1707722,67,452,1
3,5,3709,278,480,1805473,31,6617,0
0,1,3408,13,342,3541564,33,4915,2
3,5,2569,147,136,4755895,88,8196,0
0,1,1448,240,437,3166317,1,114,1
1,1,2751,97,202,2278546,44,2287,1
0,5,2846,26,252,4848828,15,7820,2
3,1,586,61,358,4613044,37,9191,1
3,1,3632,143,97,1845753,27,222,0
3,1,2899,220,345,616995,48,15144,1
3,5,1652,228,418,4155967,27,7985,0
3,5,1323,214,224,4183042,12,2725,0
2,1,3017,220,101,1365981,67,14946,1
2,1,2607,286,312,659197,30,9492,1
0,5,2727,33,473,1922097,96,11290,2
3,5,3099,13,244,2727465,87,15990,0
0,1,1146,161,193,3851919,66,4055,1
3,1,1355,268,47,221421,7,13749,0
3,1,965,177,148,3053911,34,6594,1
2,3,3481,185,204,1294073,32,8879,1
2,5,3131,65,24,1734456,39,998,0
1,3,3332,117,266,3569485,96,10502,1
2,5,3956,150,144,4091582,43,14438,2
1,5,201,164,10,2142549,43,15009,0
1,5,1078,271,58,2961669,78,1744,0
1,5,1268,282,105,1505137,3,13089,0
1,5,2027,241,210,278132,46,4807,0
1,5,3404,250,422,2006187,32,6332,0
0,5,2561,267,35,4353806,43,14803,2
2,3,3234,258,352,3572479,81,192,0
1,1,320,86,438,4394852,3,6051,1
3,1,1236,189,244,4020489,74,6702,1
2,3,509,75,358,3727248,63,15035,1
2,3,154,180,253,2142572,40,4631,1
1,3,3814,31,367,4811627,18,5137,1
0,3,3677,116,490,1246817,67,1510,2
1,5,3403,236,336,990862,62,3937,0
0,1,1760,225,405,3864545,10,14928,1
3,5,2259,78,360,2124120,52,8534,0
2,1,2448,93,425,3209236,73,9885,1
3,1,483,112,383,761151,46,15693,1
0,3,2949,48,413,4570883,55,10960,2
0,5,189,22,384,1134942,46,887,2
3,3,1544,190,60,3676754,75,9279,0
0,5,3253,277,90,1145000,60,15019,2
3,1,136,22,45,2827145,97,5896,0
2,3,1761,129,76,3749688,26,8513,0
3,3,2280,66,138,1713189,27,13386,1
2,1,2465,49,379,4770561,38,10200,1
3,1,178,137,164,4312590,22,2419,1
0,1,1319,182,254,3221756,26,9047,1
3,3,3722,44,120,936026,86,14042,1
0,5,1651,268,177,4233879,69,3224,2
3,3,719,14,490,1498060,35,6035,1
3,5,3499,227,477,606599,66,932,0
1,3,198,20,151,928906,99,15449,1
0,3,1034,126,365,997114,73,14620,1
1,1,901,193,206,4771773,51,9073,1
0,5,1506,125,480,4811064,18,13450,2
1,3,677,171,118,3042658,43,3221,1
2,3,3847,76,385,1655083,12,10433,1
3,1,1542,209,88,3028116,3,2090,0
0,1,2543,40,399,162554,82,13443,2
0,5,2094,84,170,180300,7,6782,2
3,3,3602,246,448,3754281,97,9836,1
0,5,933,75,28,1099702,6,6422,2
0,3,2391,79,136,3201842,82,9868,2
1,5,1838,29,214,4401726,45,6035,0
0,1,3264,235,38,714161,86,7612,2
2,3,299,208,454,122284,39,11826,1
2,5,2975,48,463,3461354,51,5950,2
3,1,997,154,216,1244045,9,8015,1
0,1,1024,54,473,4065972,99,5366,1
3,5,1375,100,289,1191866,23,8515,0
2,3,3146,247,160,1383311,12,639,1
0,3,2886,79,249,613529,88,10942,2
0,1,1033,175,275,2919306,62,8824,1
3,3,938,139,191,4499448,73,5113,1
2,3,2987,223,114,162686,77,3683,1
0,3,2167,98,434,542889,40,2040,2
3,1,2722,261,442,1667196,54,6565,1
2,5,924,81,410,1434974,81,15489,2
3,3,3233,174,449,4922207,7,1308,1
1,1,3485,58,245,4084746,17,13648,1
0,1,1376,61,182,3607556,50,2916,1
1,5,520,298,167,3031948,24,3788,0
2,3,2037,287,181,950014,2,621,1
1,3,140,123,467,293527,99,8786,1
1,5,579,248,320,1192433,92,13798,0
2,5,710,142,412,811713,83,4272,2
3,1,788,283,166,1425558,33,13070,1
1,1,2823,175,267,1109731,21,12754,1
3,5,921,252,173,4513761,74,687,0
1,3,1736,147,156,4188586,53,8282,1
3,1,241,88,400,3664681,46,4932,1
2,1,2036,179,163,3930605,45,15878,1
1,3,3673,132,472,4714289,9,4442,1
2,1,3363,185,376,3572194,6,9862,1
1,3,2235,91,47,819408,51,3722,0
2,3,394,96,140,2765503,35,12379,1
2,3,3301,234,367,3251133,82,15017,1
1,5,1058,25,264,3724760,53,15688,0
1,5,3833,172,217,1989813,19,15868,0
1,5,2600,107,459,2761620,69,12370,0
0,3,252,165,104,2342978,25,9541,1
3,3,622,11,357,3400584,11,15050,1
0,5,241,178,336,4959011,74,7307,2
0,1,2102,101,487,520637,17,4761,2
2,3,1963,190,180,1033018,36,13285,1
1,1,3358,240,259,3474388,90,5693,1
3,1,1766,157,199,689722,95,209,1
2,3,360,289,208,4703714,96,10194,1
0,3,2646,198,493,1794493,21,14843,2
1,1,2153,137,230,659561,18,9973,1
2,1,492,16,33,3383958,60,10688,0
1,5,1310,56,253,1682821,18,5988,0
2,5,919,62,432,3414553,1,14135,2
1,3,3982,196,333,2145022,14,11404,1
0,5,3318,47,137,4061556,8,9974,2
3,5,634,235,102,2311480,66,630,0
0,5,1644,62,309,1903211,51,15875,2
3,5,2849,233,142,2257376,79,8461,0
1,1,1587,163,64,1623925,60,7636,0
2,3,3570,57,486,4777827,34,4524,1
0,5,409,156,167,1585081,36,9991,2
3,1,1773,73,38,2408647,62,7123,0
0,1,2916,191,419,2512022,1,9712,2
3,1,2127,134,220,1241962,85,5109,1
0,5,1852,188,163,1313128,42,13507,2
3,5,2061,48,302,1789144,1,4378,0
3,3,2205,269,484,108042,96,1444,1
1,5,893,12,231,4963317,84,971,0
3,5,1675,73,124,3328372,54,14619,0
1,1,2814,38,446,3074454,47,2823,1
3,3,940,20,167,3641625,39,4512,1
2,5,2041,106,268,4828860,30,4626,2
2,5,2032,212,260,2032143,7,13934,2
2,1,1009,30,131,3172050,22,3484,1
3,1,1518,48,308,1953512,50,6783,1
1,5,2990,232,272,1894223,45,11824,0
1,3,1511,111,390,2005358,74,9360,1
3,3,781,55,58,692572,72,1915,0
2,1,655,75,386,2192987,91,14372,1
2,1,2554,100,338,3401755,10,12553,1
1,5,664,173,306,74079,14,774,0
2,1,3856,120,371,1736676,46,14177,1
0,5,2795,132,86,898165,75,761,2
1,3,2054,202,472,3153981,6,14225,1
2,3,1769,108,447,4274615,21,7760,1
1,5,3616,168,136,2917397,62,10067,0
0,1,723,112,206,982835,97,12168,1
1,3,1320,290,230,3738609,19,5130,1
1,1,2640,52,492,955940,88,13496,1
1,3,1637,93,100,1199061,82,13444,0
1,5,2954,200,420,2324985,99,440,0
0,5,1661,60,17,4758077,62,9312,2
3,5,946,219,41,1248880,83,4537,0
1,3,1512,135,477,1363617,53,11007,1
1,1,327,78,329,1054580,24,12722,1
2,1,601,274,403,2055321,56,10670,1
1,1,1686,267,278,3454796,62,15486,1
2,3,2208,197,200,1038140,34,13620,1
3,3,2482,239,358,1617419,22,8166,1
0,3,3954,198,172,891648,68,6797,2
0,3,810,19,70,179475,57,13271,1
3,3,3312,123,447,2396661,10,6116,1
0,1,3611,85,273,4556081,66,4544,2
3,3,2791,173,294,3728303,8,10389,1
3,3,1499,94,104,3467948,97,3622,1
3,1,454,58,50,3787491,38,12720,0
0,3,1408,186,423,3091007,62,10996,1
2,1,1282,227,479,51151,28,11505,1
3,1,71,198,158,4557313,10,15989,1
1,5,727,239,213,2655981,45,12067,0
0,5,2708,264,276,73847,65,7819,2
3,5,2078,245,11,2840611,98,11658,0
3,5,1281,35,187,2309963,67,10299,0
1,3,2105,81,434,3024946,9,2361,1
2,5,2799,270,203,494570,5,15677,2
2,1,3808,263,491,977446,10,11121,1
2,3,1858,280,396,3884755,12,6823,1
3,5,578,132,345,4618663,82,6955,0
3,1,2087,153,444,3496652,58,3692,1
3,3,2699,266,205,693101,21,6388,1
0,3,1726,153,352,3566842,21,2659,1
1,5,706,268,258,4712953,65,9672,0
3,3,215,56,221,100919,3,15705,1
1,1,898,22,162,3521726,69,10155,1
1,3,545,217,167,1266322,89,6290,1
2,1,639,244,475,3340748,64,14847,1
0,3,478,158,371,3732784,49,7856,1
3,5,2871,164,148,3545450,72,807,0
2,1,212,175,230,4740197,17,10376,1
2,3,2463,99,282,2701030,73,5136,1
3,3,3647,195,163,1849523,32,6270,1
1,3,1312,183,258,1398931,70,10154,1
2,1,121,226,288,432838,21,9981,1
1,1,3566,273,449,1852608,7,5652,1
0,1,704,106,445,1988881,7,11459,1
1,5,3943,126,313,1709365,27,12998,0
0,5,3630,208,285,660966,8,14366,2
1,1,3916,30,11,3785396,73,9376,0
2,3,318,209,97,4890798,28,6171,0
2,5,1826,257,296,4135129,79,11954,2
0,1,2512,285,420,4351851,66,9006,2
3,3,1318,273,139,1201761,71,2775,1
0,5,1065,67,87,3822099,47,3418,2
0,3,2772,40,269,4251050,82,3547,2
1,3,1133,258,250,4056235,86,8224,1
1,3,55,102,150,3844941,10,9914,1
0,3,3830,274,237,2266545,33,15176,2
2,5,1031,280,172,594167,7,11647,2
1,5,2667,103,245,1771358,3,5692,0
3,5,3938,163,137,4990320,14,8824,0
1,1,456,294,209,649843,44,4816,1
1,5,3338,89,459,3502174,46,14089,0
3,3,2003,93,399,909840,61,4683,1
0,5,2123,46,40,791023,36,1871,2
3,3,3936,241,147,4836461,13,1235,1
0,1,3126,102,30,3163466,16,12767,2
0,3,1035,111,243,1183279,80,1687,1
0,3,3653,175,211,1722841,5,7286,2
3,3,439,168,288,1592920,89,10422,1
